InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
AAASNKNLMQBKFV	food			
AABZZWPMCAZHFC	naturalproduct|bacterial|bacterial_produced			
AACVPYUISGWNOU	naturalproduct			
AADNEQWIZKTMBL	naturalproduct			
AADVZSXPNRLYLV	naturalproduct			
AAEVYOVXGOFMJO	|food			food consumption
AAGFPTSOPGCENQ	naturalproduct			
AAHSTEUFCXJGIV	naturalproduct			
AAKHGLJWUOZNTQ	naturalproduct			
AALLCALQGXXWNA	naturalproduct			
AAOFJKLTRKOQTQ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AAOVKJBEBIDNHE	drug|food|human	:9606|Homo sapiens:73337|Ceratotherium simum simum	blood|urine|feces	|food consumption|drug or medication use
AARIHENRSOEJOC	naturalproduct			
AAWZDTNXLSGCEK	food|plant_angiospermae|naturalproduct_plant|plant|human|naturalproduct	1801580|Byrsonima intermedia:9606|Homo sapiens	blood|feces|saliva|urine	|food consumption
ABALGCGSAUWIRD	naturalproduct			
ABBPFXQJIWUCKF	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced			
ABFCOJLLBHXNOU	food|fungal|fungal_produced			
ABHHIGWFFMCQOC	naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced	1883|Streptomyces		
ABLACSIRCKEUOB	naturalproduct|bacterial|bacterial_produced			
ABOLXXZAJIAUGR	human_modified		blood|urine|feces|liver|lower digestive tract	pain
ABRULANJVVJLFI	food|plant|naturalproduct_plant|plant_angiospermae|naturalproduct	:1804192|Stigmaphyllon caatingicola:151831|Heteropterys tomentosa:151831|Heteropterys eglandulosa		
ABSANOBAGBYLHY	naturalproduct			
ABTRFGSPYXCGMR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ABUBCBFUQXIEAU	naturalproduct			
ABVCUBUIXWJYSE	|food|human	9606|Homo sapiens		food consumption
ABVDJKDAAWCYKH	naturalproduct			
ABXZOXDTHTTZJW	food|human|plant|plant_angiospermae|naturalproduct_plant	:9606|Homo sapiens:1561394|Alicia anisopetala:1561753|Bronwenia megaptera:1804192|Stigmaphyllon caatingicola	urine	|food consumption
ABZLZZCDSLOCNF	naturalproduct			
ACFIXJIJDZMPPO	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACGDKVXYNVEAGU	drug|human	9606|Homo sapiens		drug or medication use
ACGHJVZDNQZJOV	naturalproduct|fungal|fungal_produced			
ACGUYXCXAPNIKK	drug|human	9606|Homo sapiens		drug or medication use
ACGWJYPSNRKNPW	naturalproduct			
ACHDMUPTZYZIGR	biocide_antimicrobial|fungal|naturalproduct_plant|animal|plant|plant_angiospermae	34433|Leucoagaricus		
ACNHBCIZLNNLRS	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACRHBAYQBXXRTO	drug			
ACRIYYKEWCXQOS	food_source_plant|plant|naturalproduct_plant|plant_angiospermae|naturalproduct	:1804185|Stigmaphyllon alternifolium:1027211|Stigmaphyllon ciliatum:1561750|Banisteriopsis stellaris	blood	
ACTIUHUUMQJHFO	drug|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption|drug or medication use
ACTOXUHEUCPTEW	naturalproduct|bacterial|bacterial_produced			
ACVGWSKVRYFWRP	|human|naturalproduct	9606|Homo sapiens		
ACWBBAGYTKWBCD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACWBQPMHZXGDFX	drug|synthetic|human	:9606|Homo sapiens	blood|urine	|drug or medication use|hypertension
ACXLVKYMISNUFD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACXODXBUYIMEFD	naturalproduct|fungal|fungal_produced			
ACYXDIZTQDLTCB	naturalproduct			
ACZFBYCNAVEFLC	naturalproduct			
ADACAMXIRQREOB	naturalproduct|fungal|fungal_produced			
ADCBKYIHQQCFHE	naturalproduct			
ADDCNOCQPWDJSR	naturalproduct			
ADDLXGZBTXNVDS	naturalproduct			
ADEBPBSSDYVVLD	drug		blood|urine	
ADEFODYSLAAMOM	naturalproduct			
ADFCQWZHKCXPAJ	bacterial_modified|animal	73337|Ceratotherium simum simum	feces	food consumption_soy
ADFWQBGTDJIESE	food|human|naturalproduct	:9606|Homo sapiens	feces|saliva	|food consumption
ADFXKUOMJKEIND	synthetic			
ADFZZQAJJGHYDR	naturalproduct			
ADIALAZTBGIRSN	fungal|fungal_produced			
ADIBRWUTYMYVDH	naturalproduct			
ADIMAYPTOBDMTL	drug|human	9606|Homo sapiens		drug or medication use
ADMPTTDMVDGFDH	bacterial_produced|naturalproduct_bacterial	1883|Streptomyces	not applicable	
ADNCDMHZHONBRR	food|naturalproduct			
ADOWBZYFYUOPDL	naturalproduct			
ADPBTBPPIIKLEH	naturalproduct			
ADRQFDIWPRFKSP	naturalproduct			
ADSALMJPJUKESW	|human|naturalproduct	9606|Homo sapiens		
ADVGKWPZRIDURE	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ADVPTQAUNPRNPO	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
