INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
80678	CCMSLIB00003137311	Spectral Match to DL-Phenylalanine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	COLNVLDHVKWLRT		Tags Present	Check Current Tags and Add if Incomplete	food												bacterial|human|mice	9606|Homo sapiens:10088|Mus		
171649	CCMSLIB00003137359	Spectral Match to Daidzin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	KYQZWONCHDNPDP		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
771	CCMSLIB00003136243	Spectral Match to L-Tyrosine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	OUYCCCASQSFEME		Tags Present	Check Current Tags and Add if Incomplete													human			
52259	CCMSLIB00003140086	Spectral Match to Capsaicin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	YKPUWZUDDOIDPM		Tags Present	Check Current Tags and Add if Incomplete													food|naturalproduct|plant|drug			food consumption_flavouring|food consumption_spices|pain
186831	CCMSLIB00003236751	Ononin	MGJLSBDCWOSMHL	Tags Present	Check Current Tags and Add if Incomplete																	food			
218716	CCMSLIB00003137480	Spectral Match to 6''-O-Acetylgenistin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	DXWGBJJLEDQBKS		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_soy
340268	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
28061	CCMSLIB00003139562	Spectral Match to Phytol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	BOTWFXYSPFMFNR		Tags Missing	Add Tags																
211861	CCMSLIB00003134562	Spectral Match to Delphinidin 3-O-glucoside cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XENHPQQLDPAYIJ		Tags Present	Check Current Tags and Add if Incomplete													food			
331266	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
